name,type,currency,interval,mrr,arr,discount_count,prompts_count,prompt_limit,baseline_credits_needed,credits_usage,credits_capacity,orgs_count,orgs_count_hf,orgs_purchased,new_plan,plan_credits,plan_price,purchased_credits,extra_credits_granted,extra_credits_granted_10,discount_pct,discount_amount,total_available_credits,unused_credits,unused_purchased_credits,arr_at_risk
Flying Cat,AGENCY,eur,month,499,,0,197.0,505.0,45450,17730,45450.0,7,0,1.0,scale,37425,499,0,8025,8828,0.0,0,45450,27720,19695,3151
Wickey,IN_HOUSE,eur,month,199,,0,100.0,100.0,9000,9000,9000.0,1,0,1.0,pro,14925,199,0,0,0,0.0,0,14925,5925,5925,948
Dot Dash,AGENCY,usd,month,89,,0,17.0,25.0,2250,1530,2250.0,1,0,1.0,intro,2250,89,0,0,0,0.0,0,2250,720,720,342
TrueClicks,IN_HOUSE,eur,month,89,,0,9.0,25.0,2250,810,2250.0,1,0,1.0,starter,3560,89,0,0,0,0.0,0,3560,2750,2750,825
CommsCo,AGENCY,eur,month,280,,0,76.0,100.0,9000,6840,9000.0,4,0,4.0,growth,12935,199,0,0,0,0.0,0,12935,6095,6095,1125
Gear4music,IN_HOUSE,eur,month,199,,0,100.0,100.0,9000,9000,9000.0,1,0,1.0,pro,14925,199,0,0,0,0.0,0,14925,5925,5925,948
Betmode,IN_HOUSE,eur,month,199,,0,31.0,100.0,9000,2790,9000.0,1,0,1.0,pro,14925,199,0,0,0,0.0,0,14925,12135,12135,1942
RivalMind,AGENCY,eur,month,199,,0,105.0,100.0,9450,9450,9000.0,5,0,6.0,growth,12935,199,0,0,0,0.0,0,12935,3485,3485,643
Harper James,IN_HOUSE,eur,month,499,,0,265.0,300.0,27000,23850,27000.0,1,0,1.0,enterprise,49900,499,0,0,0,0.0,0,49900,26050,26050,3126
addmustard,AGENCY,eur,month,199,,0,24.0,25.0,2250,2160,2250.0,1,0,1.0,growth,12935,199,0,0,0,0.0,0,12935,10775,10775,1989
SciChart,IN_HOUSE,eur,month,199,,0,77.0,100.0,9000,6930,9000.0,1,0,1.0,pro,14925,199,0,0,0,0.0,0,14925,7995,7995,1279
COR Berlin Kommunikation ,AGENCY,eur,month,89,,0,5.0,25.0,2250,450,2250.0,1,0,1.0,intro,2250,89,0,0,0,0.0,0,2250,1800,1800,854
Kollective,AGENCY,eur,month,200,,0,50.0,90.0,8400,4800,8400.0,9,0,10.0,growth,12935,199,0,0,0,0.0,0,12935,8135,8135,1502
Lusha,IN_HOUSE,eur,month,199,,0,94.0,100.0,9000,8460,9000.0,1,0,1.0,pro,14925,199,0,0,0,0.0,0,14925,6465,6465,1034
Koddi,IN_HOUSE,usd,month,89,,0,9.0,25.0,2250,810,2250.0,1,0,1.0,starter,3560,89,0,0,0,0.0,0,3560,2750,2750,825
Alt Text Ai,IN_HOUSE,usd,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89,0,0,0,0.0,0,3560,1310,1310,393
Speed Communications,IN_HOUSE,eur,month,89,,0,17.0,25.0,2250,1530,2250.0,1,0,1.0,starter,3560,89,0,0,0,0.0,0,3560,2030,2030,609
Barthet,IN_HOUSE,usd,month,89,,0,25.0,25.0,2250,2250,2250.0,1,0,1.0,starter,3560,89,0,0,0,0.0,0,3560,1310,1310,393
